personne,affirmation,contexte,verdict,journaliste,date_publication,lien,page
NA,El papa León XIV “pide destituir a Donald Trump”.,NA,False,NA,NA,https://politifact.com/factchecks/2026/apr/16/social-media/papa-leon-destituir-trump-iran-guerra/,2
NA,“Thom Tillis is no longer a senator.”,NA,False,NA,NA,https://politifact.com/factchecks/2026/apr/15/donald-trump/thom-tillis-no-longer-senator-federal-reserve/,2
NA,Photos and clips show the moon from Artemis II.,NA,False,NA,NA,https://politifact.com/factchecks/2026/apr/08/social-media/moon-photos-artemis-ii-ai-nasa/,2
NA,Video shows a US soldier crying and saying she misses home and her family.,NA,False,NA,NA,https://politifact.com/factchecks/2026/apr/07/social-media/american-soldier-crying-iran-ai/,3
NA,Video shows ICE agent removing “US citizen on a plane for being Latino.”,NA,False,NA,NA,https://politifact.com/factchecks/2026/mar/30/facebook-posts/video-ice-us-citizen-plane-skit-airport/,3
NA,Image shows President Donald Trump asked Florida Gov. Ron DeSantis on Truth Social to pardon Tiger Woods following a DUI charge.,NA,False,NA,NA,https://politifact.com/factchecks/2026/mar/30/social-media/donald-trump-fake-post-tiger-woods-pardon/,3
NA,Video shows Israelis fleeing to Cyprus.,NA,False,NA,NA,https://politifact.com/factchecks/2026/mar/23/social-media/israelis-fleeing-cyprus-video/,3
NA,“Youth underemployment for college grads is 70%” nationwide.,NA,False,NA,NA,https://politifact.com/factchecks/2026/mar/23/james-fishback/florida-youth-underemployment-college-graduate/,3
NA,Video shows toddler crying over casket of American service member killed in Iran.,NA,False,NA,NA,https://politifact.com/factchecks/2026/mar/16/social-media/video-of-toddler-crying-over-us-service-member-kil/,3
NA,El líder de Corea del Norte Kim Jong Un dijo que “ningún Dios podrá proteger a Estados Unidos de nuestras nuevas armas”.,NA,False,NA,NA,https://politifact.com/factchecks/2026/mar/12/tiktok-posts/kim-corea-del-norte-ia-eeuu-dios-armas/,3
NA,"“BREAKING: So the Israeli media reports Itamar Ben‑Gvir died in a ‘car crash,’ while in fact he’s been obliterated by an Iranian missile strike on his home.”",NA,False,NA,NA,https://politifact.com/factchecks/2026/mar/11/tweets/israel-minister-ben-gvir-no-dead/,3
NA,Iran “also has some Tomahawks.”,NA,False,NA,NA,https://politifact.com/factchecks/2026/mar/10/donald-trump/trump-tomahawk-missile-iran-school/,3
NA,“El régimen de Irán ha confesado que (el Cuerpo de la Guardia Revolucionaria Islámica) bombardeó por error… una escuela iraní” el 28 de febrero.,NA,False,NA,NA,https://politifact.com/factchecks/2026/mar/06/tweets/iran-responsabilidad-minab-escuela-ataque-eeuu-isr/,3
NA,Iran released a list of U.S. cities it will target.,NA,False,NA,NA,https://politifact.com/factchecks/2026/mar/06/social-media/iran-us-military-attack/,3
NA,The Biden administration “reversed” a policy of deporting people in the country illegally who have committed felonies.,NA,False,NA,NA,https://politifact.com/factchecks/2026/mar/05/ashley-moody/immigration-biden-deportation-criminals-policy/,3
NA,The 2015 Iran nuclear agreement “gave (Iran) the right to have top-of-the-line nuclear weapons.”,NA,False,NA,NA,https://politifact.com/factchecks/2026/mar/05/donald-trump/iran-nuclear-agreement-legitimate-right-weapons/,3
NA,"Video shows a US air base in Riyadh, Saudi Arabia, being destroyed by Iran.",NA,False,NA,NA,https://politifact.com/factchecks/2026/mar/04/tweets/iran-strikes-airbase-yemen-explosion/,3
NA,“The regime in Iran has now confessed that the (Islamic Revolutionary Guard Corps) mistakenly bombed an Iranian school yesterday.”,NA,False,NA,NA,https://politifact.com/factchecks/2026/mar/02/tweets/iran-responsibility-minab-school-strike-us-israel/,3
NA,"“Israeli shooter opened fire inside an Austin (Texas) bar” on March 1, 2026.",NA,False,NA,NA,https://politifact.com/factchecks/2026/mar/02/tweets/austin-texas-shooter-israeli-iran-senegal/,3
NA,An Instagram video shows a New York City man sculpting a car out of snow.,NA,False,NA,NA,https://politifact.com/factchecks/2026/feb/27/instagram-posts/a-nyc-man-did-not-build-this-hyper-realistic-car-o/,3
NA,Says Sam Page “got busted calling Trump’s (immigration) plan unrealistic.”,NA,False,NA,NA,https://politifact.com/factchecks/2026/feb/25/nc-true-conservatives-pac/no-rockingham-county-sheriff-sam-page-didnt-call-t/,3
NA,"Imagen muestra a Puerto Vallarta, México, después de la muerte de Nemesio “El Mencho” Oseguera Cervantes, el líder del Cártel Jalisco Nueva Generación.",NA,False,NA,NA,https://politifact.com/factchecks/2026/feb/23/social-media/el-mencho-mexico-cartel-puerto-vallarta-ia/,3
NA,"After U.S. vessel strikes in the Caribbean Sea and Pacific Ocean, “drugs entering our country by sea are down 97%.”",NA,False,NA,NA,https://politifact.com/factchecks/2026/feb/23/donald-trump/drug-water-down-97-percent-cocaine-seizures-sea/,3
NA,"Image shows Puerto Vallarta, Mexico, after the killing of Nemesio “El Mencho” Oseguera Cervantes, the head of Jalisco New Generation Cartel.",NA,False,NA,NA,https://politifact.com/factchecks/2026/feb/23/social-media/el-mencho-mexico-cartel-puerto-vallarta-ai/,4
NA,Says “90% of health care spending treats chronic disease.”,NA,False,NA,NA,https://politifact.com/factchecks/2026/feb/19/robert-f-kennedy-jr/chronic-disease-90-percent-health-spending-rfk/,4
NA,"Savannah Guthrie’s husband’s company is listed as a “co conspirator” in the Epstein files, “in case you’re wondering why now of all times for (her) mother to be ‘kidnapped.'”",NA,False,NA,NA,https://politifact.com/factchecks/2026/feb/16/tweets/epstein-files-nancy-guthrie-feldman/,4
NA,"“Durante su presentación en el Super Bowl, Bad Bunny le regaló su premio Grammy a Liam Conejo Ramos”, el niño de 5 años que fue detenido por ICE.",NA,False,NA,NA,https://politifact.com/factchecks/2026/feb/09/social-media/bad-bunny-liam-conejo-ramos-show-medio-tiempo/,4
NA,"During the Super Bowl halftime show, “Bad Bunny brought Liam Conejo Ramos onto the stage,” the 5-year-old detained by Immigration and Customs Enforcement in Minneapolis.",NA,False,NA,NA,https://politifact.com/factchecks/2026/feb/09/social-media/bad-bunny-liam-conejo-ramos-super-bowl-halftime/,4
NA,“Right now we’re focused on Minneapolis because that’s where we have the highest concentration of people who have violated our immigration laws.”,NA,False,NA,NA,https://politifact.com/factchecks/2026/jan/28/jd-vance/why-ice-in-minneapolis-immigration-population/,4
NA,"An image shows Alex Pretti holding a gun, not a phone, while pinned by federal immigration agents in Minneapolis.",NA,False,NA,NA,https://politifact.com/factchecks/2026/jan/27/tweets/image-ai-minneapolis-alex-pretti-immigration/,4
NA,Protesters against the federal immigration crackdown in Minnesota are conducting “fake protests done by agitators and professional insurrectionists. …They’re professional troublemakers.”,NA,False,NA,NA,https://politifact.com/factchecks/2026/jan/26/donald-trump/trump-paid-protesters-ice-minnesota-minneapolis/,4
NA,"“Trump’s $2,000 tariff dividend is live but you must act.”",NA,False,NA,NA,https://politifact.com/factchecks/2026/jan/23/major-gross-profit/scam-emails-falsely-claims-people-must-act-to-clai/,4
NA,"Video showing a vacant lot at a Venice, California, address where 26 voters were registered exposes voter fraud.",NA,False,NA,NA,https://politifact.com/factchecks/2026/jan/21/benny-johnson/california-register-to-vote-toilet-no-fraud/,4
NA,The former U.S. childhood vaccine schedule called for babies to get “72 injections.”,NA,False,NA,NA,https://politifact.com/factchecks/2026/jan/15/donald-trump/childhood-vaccine-schedule-injections-cdc-shots/,4
NA,A letter sent to postal service employees about working during emergencies such as civil unrest is a sign that President Donald Trump will impose martial law.,NA,False,NA,NA,https://politifact.com/factchecks/2026/jan/15/social-media/usps-letter-civil-unrest-martial-law-post-office/,4
NA,"“By federal law, if you sign someone up for Medicaid, you also give them the right to vote. … This is political patronage at the expense of Medicaid.”",NA,False,"federal law, if you sign someone up for Medicaid, you also give them the right to vote. … This is political patronage at the expense of Medicaid.”",NA,https://politifact.com/factchecks/2026/jan/14/mehmet-oz/dr-oz-is-wrong-medicaid-enrollees-arent-automatica/,4
NA,"“If we stop this fraud, this massive fraud, we’re going to have a balanced budget.”",NA,False,NA,NA,https://politifact.com/factchecks/2026/jan/13/donald-trump/fraud-budget-deficit-detroit-minnesota/,4
NA,A document shows Minnesota shooting victim Renee Good had a record of child abuse.,NA,False,NA,NA,https://politifact.com/factchecks/2026/jan/12/social-media/renee-nicole-good-criminal-record/,4
NA,Credit card companies would be “in violation of the law” if they don’t cap interest rates at 10% by Jan. 20.,NA,False,NA,NA,https://politifact.com/factchecks/2026/jan/12/donald-trump/trump-credit-card-interest-rate-10-percent-law/,4
NA,Viral photo shows the woman killed by an ICE agent Jan. 7 in Minneapolis.,NA,False,NA,NA,https://politifact.com/factchecks/2026/jan/08/social-media/photo-woman-killed-ice-minneapolis/,4
NA,Maduro was “flooding America with deadly fentanyl.”,NA,False,NA,NA,https://politifact.com/factchecks/2026/jan/07/donald-trump/maduro-fentanyl-venezuela-mexico-trump/,4
NA,Venezuelan leader Nicolás Maduro “was releasing people from his prisons and sending them to our southern border under the Biden administration.”,NA,False,NA,NA,https://politifact.com/factchecks/2026/jan/07/ron-desantis/maduro-freed-venuzuela-prisoners-us-border/,4
NA,Video shows “leaked Donald Trump audio about the Epstein files and Venezuela.”,NA,False,NA,NA,https://politifact.com/factchecks/2026/jan/06/facebook-posts/trump-fake-leaked-audio-epstein-venezuela/,4
NA,Gov. Tim Walz had Democratic lawmaker Melissa Hortman killed.,NA,False,NA,NA,https://politifact.com/factchecks/2026/jan/06/donald-trump/trump-amplifies-conspiracy-theory-that-gov-tim-wal/,5
NA,Video shows “millions of Venezuelans flooded the streets of Caracas” to celebrate Nicolás Maduro’s capture.,NA,False,NA,NA,https://politifact.com/factchecks/2026/jan/05/alex-jones/venezuelans-maduro-old-footage-out-of-context/,5
NA,Brown University student Mustapha Karbouch was a suspect in school shooting.,NA,False,NA,NA,https://politifact.com/factchecks/2025/dec/19/social-media/brown-shooting-kharbouch-neves-suspect-false/,5
NA,Image shows Rob Reiner tweeted in 2023 that he would stop posting until “Trump goes to prison.”,NA,False,NA,NA,https://politifact.com/factchecks/2025/dec/17/laura-loomer/rob-reiner-trump-post-2023/,5
NA,The U.S. has received promises of investments totaling $18 trillion to $22 trillion since January.,NA,False,NA,NA,https://politifact.com/factchecks/2025/dec/09/donald-trump/foreign-corporate-investment-18-22-trillion/,5
NA,“I take responsibility for putting people in jail” in Minnesota fraud scandal.,NA,False,NA,NA,https://politifact.com/factchecks/2025/dec/05/tim-walz/mn-somali-fraud-donald-trump-tps-immigration/,5
NA,"Any pardon signed with an autopen is now “fully and completely terminated, and is of no legal effect.”",NA,False,NA,NA,https://politifact.com/factchecks/2025/dec/04/donald-trump/revoke-pardon-biden-autopen/,5
NA,A new North Carolina law “prohibits the use of wireless communication devices while driving.”,NA,False,NA,NA,https://politifact.com/factchecks/2025/dec/04/facebook-posts/no-north-carolina-didnt-just-ban-cellphone-use-in/,5
NA,"“This Thanksgiving, turkey prices are at their lowest point since 2000.”",NA,False,NA,NA,https://politifact.com/factchecks/2025/nov/26/richard-hudson/no-turkey-prices-arent-at-their-lowest-in-25-years/,5
NA,“I have just gotten the highest poll numbers of my ‘political career.’”,NA,False,NA,NA,https://politifact.com/factchecks/2025/nov/24/donald-trump/poll-approval-disapproval-aggregation-highest-ever/,5
NA,"“There’s about 1,400 criminal illegal aliens that, right now, are in North Carolina and Charlotte’s jails that they refuse to turn over to ICE law enforcement.”",NA,False,NA,NA,https://politifact.com/factchecks/2025/nov/24/tricia-mclaughlin/no-nc-jails-arent-refusing-to-turn-inmates-over-to/,5
NA,West Virginia is “the only state losing population.”,NA,False,NA,NA,https://politifact.com/factchecks/2025/nov/21/kayla-young/west-virginia-losing-population-only-state/,5
NA,Video shows President Donald Trump patting President Bill Clinton’s crotch.,NA,False,NA,NA,https://politifact.com/factchecks/2025/nov/17/tiktok-posts/donald-trump-bill-clinton-bubba-touch-crotch-video/,5
NA,“My tariffs … are helping to slash the deficit this year by more than 25%.”,NA,False,NA,NA,https://politifact.com/factchecks/2025/nov/14/donald-trump/tariff-deficit-reduction-25-percent/,5
NA,“RFK Jr. flees the scene after Novo Nordisk Executive Gordon Findlay collapsed in the Oval Office.”,NA,False,NA,NA,https://politifact.com/factchecks/2025/nov/07/tweets/oval-office-fainting-man-rfk-gordon-findlay/,5
NA,“The New York City ballot form is a scam” because “mayoral candidates appear twice.”,NA,False,NA,NA,https://politifact.com/factchecks/2025/nov/04/elon-musk/new-york-city-mayor-election-ballot-fusion/,5
NA,"The federal government “decided to shut down the SNAP machines, so that they can’t be used.”",NA,False,NA,NA,https://politifact.com/factchecks/2025/nov/03/jb-pritzker/snap-food-government-shutdown-trump-illinois/,5
NA,The majority of Supplemental Nutrition Assistance Program recipients are not U.S. citizens.,NA,False,NA,NA,https://politifact.com/factchecks/2025/nov/03/tweets/snap-recipients-american-citizens/,5
NA,"Video shows Hurricane Melissa hitting Jamaica on Oct. 26, 2025.",NA,False,NA,NA,https://politifact.com/factchecks/2025/oct/27/tweets/hurricane-melissa-jamaica-videos/,5
NA,"“The Trump administration just declared that erecting a ballroom is the president’s main priority,” rather than issues such as the cost of living and health care.",NA,False,NA,NA,https://politifact.com/factchecks/2025/oct/24/hakeem-jeffries/democrats-leavitt-priority-ballroom-white-house/,5
