ID,LG,claim,score,number of sources in common,cross-language score consistency,cross-language response consistency,Most accurate response,ground truth
117,E,“Nearly 90% of all UW graduates stay in Wisconsin 5 years after they graduate.”,80,0,0,0,E,TRUE
118,F,« Près de 90 % des diplômés de l'Université du Wisconsin restent au Wisconsin cinq ans après leur diplôme. »,0,,,,,
119,E,"“We passed 27 bills last year, which is the fewest since the Depression.”",90,1,0,0,E,TRUE
120,F,"« Nous avons adopté 27 projets de loi l'année dernière, soit le nombre le plus faible depuis la Grande Dépression. »",0,,,,,
121,E,"“The United States is an outlier, one of only about half a dozen countries, without any guarantee of paid leave for new parents and/or other health care needs.”",90,0,2,0,E,TRUE
122,F,"« Les États-Unis sont une exception, faisant partie d'environ une demi-douzaine de pays qui ne garantissent pas de congé payé aux nouveaux parents et/ou pour d'autres besoins en matière de soins de santé. »",80,,,,,
123,E,"“We’ve had 12 elections in 24 years in Wisconsin that have been decided by less than 30,000 votes.”",0,0,2,2,SAME,TRUE
124,F,"« Au Wisconsin, 12 élections sur 24 ont été décidées par moins de 30 000 voix. »",0,,,,,
125,E,“We’re facing situations these days where you have to have two officers in the evidence room in case there’s an accidental (fentanyl) exposure.”,70,1,2,2,SAME,TRUE
126,F,« Nous sommes confrontés à des situations où deux agents doivent être présents dans la salle des preuves au cas où une exposition accidentelle au fentanyl se produirait. »,60,,,,,
127,E,"“When it comes to how many votes (President) Joe Biden won, it was literally less than a few votes per ward.”",0,1,2,2,SAME,TRUE
128,F,"« En ce qui concerne le nombre de votes remportés par le président Joe Biden, il s'agissait littéralement de moins de quelques votes par circonscription. »",0,,,,,
129,E,"Gaza has “the highest number of people facing catastrophic hunger ever recorded by the Integrated Food Security Classification system — anywhere, anytime.”",90,4,2,2,SAME,TRUE
130,F,"Gaza compte « le plus grand nombre de personnes confrontées à une faim catastrophique jamais enregistré par le système intégré de classification de la sécurité alimentaire, où que ce soit et à quelque époque que ce soit ».",80,,,,,
131,E,The Great Lakes account for “over 20% of the world’s freshwater and over 80% of North America’s freshwater.”,100,1,2,2,SAME,TRUE
132,F,Les Grands Lacs représentent « plus de 20 % de l'eau douce mondiale et plus de 80 % de l'eau douce de l'Amérique du Nord ».,90,,,,,
133,E,“We’re having the largest classes of correctional officers we’ve ever had before.”,80,0,0,0,E,TRUE
134,F,« Nous avons les plus grandes cohortes d'agents correctionnels que nous ayons jamais eues. »,20,,,,,
135,E,"“We’ve seen an 800% increase in the Swanton sector, which is the part of the northern border that I represent, in illegal crossings.”",80,0,0,0,E,TRUE
136,F,"« Nous avons constaté une augmentation de 800 % des passages illégaux dans le secteur de Swanton, qui correspond à la partie de la frontière nord que je représente. »",0,,,,,
137,E,“Marijuana is currently classified in the same category of drugs as heroin and a more dangerous category than fentanyl or cocaine.”,0,0,2,2,SAME,TRUE
138,F,« La marijuana est actuellement classée dans la même catégorie de drogues que l'héroïne et dans une catégorie plus dangereuse que le fentanyl ou la cocaïne. »,0,,,,,
139,E,"Says expanding Medicaid in Wisconsin would save the state $530 million, which could pay for 3,287 K-12 teachers, or 7.8 educators per district.",80,0,0,0,E,TRUE
140,F,"Affirme que l'élargissement de Medicaid au Wisconsin permettrait à l'État d'économiser 530 millions de dollars, ce qui pourrait financer 3 287 enseignants de la maternelle à la 12e année, soit 7,8 éducateurs par district.",0,,,,,
141,E,"Under Joe Biden, there are “record numbers of new Black entrepreneurs.”",80,0,0,0,E,TRUE
142,F,"Sous Joe Biden, il y a « un nombre record de nouveaux entrepreneurs noirs ».",0,,,,,
143,E,Minnesota incarcerates “about a third of what Wisconsin does.”,0,0,2,2,SAME,TRUE
144,F,Le Minnesota incarcère « environ un tiers du nombre de personnes incarcérées au Wisconsin ».,0,,,,,
145,E,Postpartum Medicaid coverage expanded from three states to 43 states because of the Biden administration.,80,0,2,1,E,TRUE
146,F,La couverture Medicaid post-partum est passée de trois à 43 États grâce à l'administration Biden.,80,,,,,
147,E,"“Wisconsin had over 1,400 opioid overdose deaths in 2022.”",100,0,0,0,E,TRUE
148,F,« Le Wisconsin a enregistré plus de 1 400 décès par surdose d'opioïdes en 2022. »,0,,,,,
149,E,“(The) top issue for college students is the economy.”,80,0,0,2,E,TRUE
150,F,« La principale préoccupation des étudiants universitaires est l'économie. »,40,,,,,
151,E,"“In April last year, our state unemployment rate hit a record low of 2.4%. Last year, Wisconsin had an all-time lowest number of unemployed workers ever in modern history.”",0,0,2,2,SAME,TRUE
152,F,"« En avril de l'année dernière, le taux de chômage de notre État a atteint un niveau record de 2,4 %. L'année dernière, le Wisconsin a enregistré le plus faible nombre de chômeurs de son histoire moderne. »",0,,,,,
153,E,"“Today in America, 1 in 3 women of reproductive age live in a state with an abortion ban.”",40,2,1,1,F,TRUE
154,F,"« Aujourd'hui, aux États-Unis, une femme sur trois en âge de procréer vit dans un État où l'avortement est interdit. »",70,,,,,
155,E,"Donald Trump “deported less, believe it or not, than Barack Obama even did.”",90,0,1,1,E,TRUE
156,F,"Donald Trump « a expulsé moins d'immigrants, croyez-le ou non, que Barack Obama ».",60,,,,,
157,E,"“We’ve had more Americans die of fentanyl than the Iraq, Afghanistan, and Vietnam wars, combined.”",100,0,1,1,E,TRUE
158,F,"« Plus d'Américains sont morts du fentanyl que pendant les guerres en Irak, en Afghanistan et au Vietnam réunies. »",80,,,,,
159,E,"“With school-based professional social workers, the recommendation is 400-to-1, and in Wisconsin, we’re almost triple that.”",80,0,0,0,E,TRUE
160,F,"« Pour les travailleurs sociaux professionnels en milieu scolaire, la recommandation est d'un pour 400 élèves, et au Wisconsin, nous sommes presque trois fois au-dessus de ce ratio. »",0,,,,,
161,E,“We sell arms to 60% of the world’s autocrats. We are the world’s largest arms exporters.”,80,0,0,1,E,TRUE
162,F,« Nous vendons des armes à 60 % des autocrates du monde. Nous sommes les plus grands exportateurs d'armes au monde. »,40,,,,,
163,E,“We produce a lot more wind energy in Texas than California does.”,90,1,2,2,E,TRUE
164,F,« Nous produisons beaucoup plus d'énergie éolienne au Texas qu'en Californie. »,80,,,,,
165,E,"Potato chips, KitKat bars and Viagra are not taxed in Wisconsin because they are considered “essential.”",100,0,0,0,E,TRUE
166,F,"Les croustilles, les barres KitKat et le Viagra ne sont pas taxés au Wisconsin parce qu'ils sont considérés comme « essentiels ».",0,,,,,
167,E,"“Since 1981, the state Senate has only rejected five executive appointments. The GOP today is more than doubling that number.”",80,0,0,0,E,TRUE
168,F,"« Depuis 1981, le Sénat de l'État n'a rejeté que cinq nominations de l'exécutif. Le Parti républicain en a aujourd'hui plus que doublé le nombre. »",0,,,,,
169,E,“Lego donates model MRI kits to hospitals to help children understand the procedure and reduce their anxiety.”,95,0,1,1,E,TRUE
170,F,« Lego fait don de modèles d'IRM aux hôpitaux afin d'aider les enfants à comprendre la procédure et à réduire leur anxiété. »,80,,,,,
171,E,It has been U.S. policy “for at least 79 years” to require Americans who intend to be evacuated from overseas to sign a promissory note.,80,0,0,0,E,TRUE
172,F,C'est la politique américaine « depuis au moins 79 ans » d'exiger des Américains qui souhaitent être évacués de l'étranger qu'ils signent une reconnaissance de dette.,0,,,,,
173,E,"“A few years back,” Mitchell Stadium in Bluefield, W.Va., “was voted the best high school football field in America.”",90,0,0,0,E,TRUE
174,F,"« Il y a quelques années », le Mitchell Stadium de Bluefield, en Virginie-Occidentale, « a été élu meilleur terrain de football américain d'école secondaire du pays ».",0,,,,,
175,E,“Beyonce paid $100K for Maryland Metro to run later following weather delays for her concert.”,100,0,0,0,E,TRUE
176,F,« Beyoncé a payé 100 000 $ pour que le métro du Maryland prolonge son service à la suite de retards causés par les conditions météorologiques lors de son concert. »,0,,,,,
177,E,Florida has “the highest” homeowners insurance in the nation.,100,2,1,1,E,TRUE
178,F,La Floride a « les assurances habitation les plus chères » du pays.,80,,,,,
179,E,More than “200 dogs showed up and lined up around the block” for a man’s 100th birthday celebration.,0,0,2,2,SAME,TRUE
180,F,Plus de « 200 chiens se sont présentés et ont fait la queue autour du pâté de maisons » pour célébrer le 100e anniversaire d'un homme.,0,,,,,
181,E,“An 11-year-old boy saved the lives of two people on the same day.”,0,0,2,2,SAME,TRUE
182,F,« Un garçon de 11 ans a sauvé la vie de deux personnes le même jour. »,0,,,,,
183,E,Infertility is treated differently than other issues and “often excluded from insurance coverage.”,80,0,2,0,E,TRUE
184,F,L'infertilité est traitée différemment des autres problèmes et est « souvent exclue de la couverture d'assurance ».,70,,,,,
185,E,"“Just last year,” Miami-Dade Public Schools “had over 14,000 new children, 10,000 of which came from four countries of Cuba, Nicaragua, Venezuela and Haiti.”",60,0,0,0,E,TRUE
186,F,"« Rien que l'année dernière », les écoles publiques du comté de Miami-Dade « ont accueilli plus de 14 000 nouveaux enfants, dont 10 000 provenaient de quatre pays : Cuba, le Nicaragua, le Venezuela et Haïti ».",20,,,,,
187,E,"“For African American families in particular, the homeownership rate remains relatively unchanged since 1968, the year the Fair Housing Act was signed into law.”",80,0,1,1,E,TRUE
188,F,"« Pour les familles afro-américaines en particulier, le taux d'accession à la propriété demeure relativement inchangé depuis 1968, année où la Fair Housing Act a été adoptée. »",60,,,,,
189,E,"“When a basketball player or football or baseball player from another team plays in Wisconsin, that one game’s salary, they pay Wisconsin income tax on it. … So, if for some reason we do not have the Brewers in Wisconsin all of those player salaries that generate dollars for the State of Wisconsin go away.”",90,1,2,1,E,TRUE
190,F,"« Lorsqu'un joueur de basketball, de football ou de baseball d'une autre équipe joue au Wisconsin, son salaire pour ce match est assujetti à l'impôt sur le revenu du Wisconsin. … Ainsi, si pour une raison quelconque les Brewers n'étaient plus au Wisconsin, tous les salaires de ces joueurs qui génèrent des revenus pour l'État du Wisconsin disparaîtraient. »",80,,,,,
191,E,"“If you need Girl Scout cookies this year and don’t have a local troop to support, please consider buying from Troop 6000, which is entirely made up of girls living in NYC’s homeless shelters.”",0,0,2,0,E,TRUE
192,F,"« Si vous avez besoin de biscuits Girl Scouts cette année et que vous n'avez pas de troupe locale à soutenir, pensez à acheter ceux de la troupe 6000, qui est entièrement composée de filles vivant dans des refuges pour sans-abri à New York. »",0,,,,,
193,E,“Joe Biden was older on his first day as president than Ronald Reagan was on his last day.”,100,1,2,2,SAME,TRUE
194,F,« Joe Biden était plus âgé lors de son premier jour en tant que président que Ronald Reagan ne l'était lors de son dernier jour. »,100,,,,,
195,E,“Many law enforcement agencies didn’t submit their (hate crime) data to the FBI.”,80,0,1,1,E,TRUE
196,F,« De nombreux organismes d'application de la loi n'ont pas transmis leurs données sur les crimes haineux au FBI. »,60,,,,,
197,E,“WOW county swing suburban voters (in Wisconsin) don’t vote for Donald Trump.”,40,1,0,0,E,TRUE
198,F,« Les électeurs des banlieues du comté de WOW au Wisconsin ne votent pas pour Donald Trump. »,0,,,,,
199,E,Manhattan District Attorney Alvin Bragg “has downgraded over 50% of the felonies to misdemeanors.”,90,0,0,0,E,TRUE
200,F,"Le procureur du district de Manhattan, Alvin Bragg, « a requalifié plus de 50 % des crimes en délits ».",0,,,,,
201,E,,,0,2,,,TRUE
202,F,,,,,,,
203,E,,,0,2,,,TRUE
204,F,,,,,,,
205,E,,,0,2,,,TRUE
206,F,,,,,,,
207,E,,,0,2,,,TRUE
208,F,,,,,,,
209,E,,,0,2,,,TRUE
210,F,,,,,,,
211,E,,,0,2,,,TRUE
212,F,,,,,,,
213,E,,,0,2,,,TRUE
214,F,,,,,,,
215,E,,,0,2,,,TRUE
216,F,,,,,,,
217,E,,,0,2,,,TRUE
218,F,,,,,,,
