ID,LG,claim,score,number of sources in common,cross-language score consistency,cross-language response consistency,Most accurate response,ground truth
50,F,Des images montreraient des personnes infectées par l'hantavirus.,20,,,,,
51,E,"Today, there are more children sleeping in New York City's homeless shelters than there are seats in Yankee Stadium.",0,0,2.00,1,E,FALSE
52,F,"Aujourd'hui, plus d'enfants dorment dans les refuges pour sans-abri de New York que de sièges au Yankee Stadium.",0,,,,,
53,E,Gasoline prices have come down very substantially today.,0,1,1.00,2,E,FALSE
54,F,Les prix de l'essence ont beaucoup baissé aujourd'hui.,20,,,,,
55,E,"Congress passed the 1965 Voting Rights Act because the Democrat party at the time, especially in the South, were racially gerrymandering districts to disenfranchise Black voters.",90,0,1.00,2,SAME,FALSE
56,F,"Le Congrès a adopté le Voting Rights Act de 1965 parce que le parti démocrate de l'époque, surtout dans le Sud, découpait les circonscriptions selon des critères raciaux pour priver les électeurs noirs de leur droit de vote.",80,,,,,
57,E,California only has enough oil and gas supply to meet demand for the next six weeks.,60,0,0.00,0,F,FALSE
58,F,La Californie n'a de réserves de pétrole et de gaz que pour six semaines de demande.,0,,,,,
59,E,Consumer confidence is way up.,60,1,0.00,1,F,FALSE
60,F,La confiance des consommateurs est nettement en hausse.,20,,,,,
61,E,"Under federal law, you cannot engage in partisan gerrymandering.",0,0,2.00,1,E,FALSE
62,F,"Selon la loi fédérale, on ne peut pas pratiquer le charcutage électoral partisan.",0,,,,,
63,E,Image shows 950 migrants toppling the border wall between Mexico and the United States while trying to enter the United States in April 2026.,0,2,2.00,2,SAME,FALSE
64,F,"Une image montrerait que 950 immigrants ont fait tomber le mur frontalier entre le Mexique et les États-Unis en tentant d'y entrer, en avril 2026.",0,,,,,
65,E,Secret Service remains unpaid during the partial government shutdown.,80,0,1.00,1,F,FALSE
66,F,Le Secret Service resterait impayé pendant la fermeture partielle du gouvernement.,50,,,,,
67,E,Video shows unedited raw security footage of the shooter at the April 25 White House Correspondents' Association dinner.,0,1,0.00,0,E,FALSE
68,F,Une vidéo montrerait des images de sécurité brutes et non montées du tireur au dîner de l'association des correspondants de la Maison-Blanche du 25 avril.,60,,,,,
69,E,"Following the attack on Trump, at the White House Correspondents' Dinner on April 25, Iran sent a strong message: don't believe anything he says, he lies.",0,1,2.00,2,SAME,FALSE
70,F,"Après l'attentat contre Trump, lors du dîner des correspondants de la Maison-Blanche du 25 avril, l'Iran lancerait un message fort : ne le croyez pas, il ment.",0,,,,,
71,E,Video shows President Donald Trump at the Walter Reed National Military Medical Center.,90,0,0.00,0,F,FALSE
72,F,Une vidéo montrerait le président Trump au centre médical militaire national Walter Reed.,20,,,,,
73,E,"Video shows the United States' April 19, 2026, strike on an Iranian cargo ship.",98,1,1.00,1,F,FALSE
74,F,Une vidéo montrerait la frappe américaine du 19 avril 2026 contre un cargo iranien.,80,,,,,
75,E,Pope Leo XIV calls for Donald Trump to be removed from office.,0,0,2.00,2,SAME,FALSE
76,F,Le pape Léon XIV demanderait la destitution de Donald Trump.,0,,,,,
77,E,Thom Tillis is no longer a senator.,0,0,2.00,2,E,FALSE
78,F,Thom Tillis ne serait plus sénateur.,0,,,,,
79,E,Photos and clips show the moon from Artemis II.,100,1,1.00,2,SAME,TRUE
80,F,Des photos et vidéos montreraient la Lune vue depuis la mission Artemis II.,90,,,,,
81,E,Video shows a US soldier crying and saying she misses home and her family.,0,2,2.00,1,E,FALSE
82,F,"Une vidéo montrerait une soldate américaine en pleurs, disant que sa famille et son pays lui manquent.",0,,,,,
83,E,Video shows ICE agent removing US citizen on a plane for being Latino.,0,1,2.00,2,SAME,FALSE
84,F,Une vidéo montrerait un agent de l'ICE faisant descendre d'un avion un citoyen américain parce qu'il est latino.,0,,,,,
85,E,Image shows President Donald Trump asked Florida Gov. Ron DeSantis on Truth Social to pardon Tiger Woods following a DUI charge.,0,0,2.00,1,E,FALSE
86,F,"Une image montrerait que le président Trump a demandé au gouverneur de Floride Ron DeSantis, sur Truth Social, de gracier Tiger Woods après une accusation de conduite en état d'ivresse.",0,,,,,
87,E,Video shows Israelis fleeing to Cyprus.,20,2,1.00,1,E,FALSE
88,F,Une vidéo montrerait des Israéliens fuyant vers Chypre.,0,,,,,
89,E,Youth underemployment for college grads is 70% nationwide.,0,0,2.00,1,E,FALSE
90,F,Le sous-emploi des jeunes diplômés universitaires serait de 70 % à l'échelle nationale.,0,,,,,
91,E,Video shows toddler crying over casket of American service member killed in Iran.,0,0,2.00,1,E,FALSE
92,F,Une vidéo montrerait un tout-petit pleurant devant le cercueil d'un militaire américain tué en Iran.,0,,,,,
93,E,North Korean leader Kim Jong Un said that no god can protect the United States from our new weapons.,0,1,2.00,2,SAME,FALSE
94,F,Le dirigeant nord-coréen Kim Jong Un aurait dit qu'aucun Dieu ne pourra protéger les États-Unis de leurs nouvelles armes.,0,,,,,
95,E,"BREAKING: So the Israeli media reports Itamar Ben-Gvir died in a car crash, while in fact he's been obliterated by an Iranian missile strike on his home.",0,2,2.00,2,SAME,FALSE
96,F,"DERNIÈRE HEURE : Les médias israéliens rapportent qu'Itamar Ben-Gvir est mort dans un accident de voiture, alors qu'en réalité il aurait été anéanti par une frappe de missile iranien sur sa maison.",0,,,,,
97,E,Iran also has some Tomahawks.,0,0,2.00,2,SAME,FALSE
98,F,L'Iran « possède aussi des missiles Tomahawk ».,0,,,,,
99,E,The Iranian regime has confessed that the Islamic Revolutionary Guard Corps mistakenly bombed an Iranian school on February 28.,0,1,2.00,2,SAME,FALSE
100,F,Le régime iranien aurait avoué que le Corps des gardiens de la révolution islamique a bombardé par erreur une école iranienne le 28 février.,0,,,,,
101,E,Iran released a list of U.S. cities it will target.,40,2,1.00,0,E,FALSE
102,F,L'Iran aurait publié une liste de villes américaines qu'il ciblera.,20,,,,,
103,E,The Biden administration reversed a policy of deporting people in the country illegally who have committed felonies.,20,0,1.00,2,SAME,FALSE
104,F,L'administration Biden aurait annulé une politique d'expulsion des personnes en situation irrégulière ayant commis des crimes graves.,0,,,,,
105,E,The 2015 Iran nuclear agreement gave Iran the right to have top-of-the-line nuclear weapons.,0,2,2.00,2,SAME,FALSE
106,F,L'accord nucléaire iranien de 2015 aurait donné à l'Iran le droit de posséder des armes nucléaires de pointe.,0,,,,,
107,E,"Video shows a US air base in Riyadh, Saudi Arabia, being destroyed by Iran.",40,0,0.00,0,F,FALSE
108,F,"Une vidéo montrerait l'Iran détruisant une base aérienne américaine à Riyad, en Arabie saoudite.",0,,,,,
109,E,The regime in Iran has now confessed that the Islamic Revolutionary Guard Corps mistakenly bombed an Iranian school yesterday.,0,0,2.00,2,SAME,FALSE
110,F,Le régime iranien aurait avoué que le Corps des gardiens de la révolution islamique a bombardé par erreur une école iranienne hier.,0,,,,,
111,E,"Israeli shooter opened fire inside an Austin, Texas bar on March 1, 2026.",0,1,2.00,1,E,FALSE
112,F,"Un tireur israélien aurait ouvert le feu dans un bar d'Austin, au Texas, le 1er mars 2026.",0,,,,,
113,E,An Instagram video shows a New York City man sculpting a car out of snow.,0,0,2.00,1,E,FALSE
114,F,Une vidéo Instagram montrerait un homme de New York sculptant une voiture dans la neige.,0,,,,,
115,E,Says Sam Page got busted calling Trump's immigration plan unrealistic.,0,0,2.00,1,E,FALSE
116,F,Sam Page aurait été pris en flagrant délit à qualifier le plan d'immigration de Trump d'irréaliste.,0,,,,,
117,E,"Image shows Puerto Vallarta, Mexico, after the death of Nemesio ""El Mencho"" Oseguera Cervantes, the leader of the Jalisco New Generation Cartel.",90,1,1.00,2,SAME,FALSE
118,F,"Une image montrerait Puerto Vallarta, au Mexique, après la mort de Nemesio « El Mencho » Oseguera Cervantes, chef du cartel Jalisco Nouvelle Génération.",80,,,,,
119,E,"After U.S. vessel strikes in the Caribbean Sea and Pacific Ocean, drugs entering our country by sea are down 97%.",0,1,2.00,2,F,FALSE
120,F,"Après les frappes de navires américains dans la mer des Caraïbes et l'océan Pacifique, l'entrée de drogue par voie maritime aurait chuté de 97 %.",0,,,,,
121,E,"Image shows Puerto Vallarta, Mexico, after the killing of Nemesio El Mencho Oseguera Cervantes, the head of Jalisco New Generation Cartel.",90,1,1.00,2,SAME,FALSE
122,F,"Une image montrerait Puerto Vallarta, au Mexique, après la mort de Nemesio « El Mencho » Oseguera Cervantes, chef du cartel Jalisco Nouvelle Génération.",80,,,,,
123,E,Says 90% of health care spending treats chronic disease.,95,1,1.00,2,SAME,FALSE
124,F,90 % des dépenses de santé serviraient à traiter des maladies chroniques.,80,,,,,
125,E,"Savannah Guthrie's husband's company is listed as a co conspirator in the Epstein files, in case you're wondering why now of all times for her mother to be kidnapped.",0,0,2.00,2,SAME,FALSE
126,F,"L'entreprise du mari de Savannah Guthrie serait citée comme « co-conspirateur » dans les dossiers Epstein, ce qui expliquerait pourquoi sa mère aurait été « kidnappée » précisément maintenant.",0,,,,,
127,E,"During his performance at the Super Bowl, Bad Bunny gave his Grammy award to Liam Conejo Ramos, the 5-year-old boy who was detained by ICE.",0,0,2.00,2,E,FALSE
128,F,"Pendant sa performance au Super Bowl, Bad Bunny aurait offert son trophée Grammy à Liam Conejo Ramos, l'enfant de 5 ans détenu par l'ICE.",0,,,,,
129,E,"During the Super Bowl halftime show, Bad Bunny brought Liam Conejo Ramos onto the stage, the 5-year-old detained by Immigration and Customs Enforcement in Minneapolis.",0,0,2.00,2,SAME,FALSE
130,F,"Pendant le spectacle de la mi-temps du Super Bowl, Bad Bunny aurait fait monter sur scène Liam Conejo Ramos, l'enfant de 5 ans détenu par l'ICE à Minneapolis.",0,,,,,
131,E,Right now we're focused on Minneapolis because that's where we have the highest concentration of people who have violated our immigration laws.,60,0,0.00,0,F,FALSE
132,F,"« En ce moment, nous nous concentrons sur Minneapolis parce que c'est là que se trouve la plus forte concentration de personnes ayant enfreint nos lois sur l'immigration ».",0,,,,,
133,E,"An image shows Alex Pretti holding a gun, not a phone, while pinned by federal immigration agents in Minneapolis.",0,1,2.00,2,SAME,FALSE
134,F,"Une image montrerait Alex Pretti tenant une arme, et non un téléphone, alors qu'il était plaqué au sol par des agents fédéraux de l'immigration à Minneapolis.",0,,,,,
135,E,Protesters against the federal immigration crackdown in Minnesota are conducting fake protests done by agitators and professional insurrectionists. They're professional troublemakers.,20,0,1.00,2,E,FALSE
136,F,"Les manifestants contre la répression fédérale de l'immigration au Minnesota mèneraient de « fausses manifestations organisées par des agitateurs et des insurgés professionnels », des « fauteurs de troubles professionnels ».",0,,,,,
137,E,"Trump's $2,000 tariff dividend is live but you must act.",0,1,2.00,1,E,FALSE
138,F,"Le « dividende tarifaire » de 2 000 $ de Trump serait déjà disponible, mais il faudrait agir vite.",0,,,,,
139,E,"Video showing a vacant lot at a Venice, California, address where 26 voters were registered exposes voter fraud.",0,0,2.00,1,E,FALSE
140,F,"Une vidéo montrant un terrain vague à une adresse de Venice, en Californie, où 26 électeurs seraient inscrits, révélerait une fraude électorale.",0,,,,,
141,E,The former U.S. childhood vaccine schedule called for babies to get 72 injections.,0,4,2.00,1,E,FALSE
142,F,L'ancien calendrier vaccinal infantile américain aurait prévu 72 injections pour les bébés.,0,,,,,
143,E,A letter sent to postal service employees about working during emergencies such as civil unrest is a sign that President Donald Trump will impose martial law.,0,0,2.00,1,E,FALSE
144,F,"Une lettre envoyée aux employés de la poste concernant le travail en cas d'urgence, comme des troubles civils, serait un signe que le président Trump imposera la loi martiale.",0,,,,,
145,E,"By federal law, if you sign someone up for Medicaid, you also give them the right to vote. This is political patronage at the expense of Medicaid.",0,0,2.00,2,SAME,FALSE
146,F,"Selon la loi fédérale, inscrire quelqu'un à Medicaid lui donnerait aussi le droit de vote — un clientélisme politique aux frais de Medicaid.",0,,,,,
147,E,"If we stop this fraud, this massive fraud, we're going to have a balanced budget.",0,0,0.00,0,E,FALSE
148,F,"« Si nous arrêtons cette fraude, cette fraude massive, nous aurons un budget équilibré ».",40,,,,,
149,E,A document shows Minnesota shooting victim Renee Good had a record of child abuse.,80,0,0.00,0,F,FALSE
150,F,"Un document montrerait que Renee Good, victime d'une fusillade au Minnesota, avait un casier pour maltraitance d'enfants.",0,,,,,
151,E,Credit card companies would be in violation of the law if they don't cap interest rates at 10% by Jan. 20.,0,0,2.00,1,E,FALSE
152,F,Les sociétés de cartes de crédit seraient en infraction si elles ne plafonnent pas leurs taux d'intérêt à 10 % avant le 20 janvier.,0,,,,,
153,E,Viral photo shows the woman killed by an ICE agent Jan. 7 in Minneapolis.,80,0,1.00,2,SAME,FALSE
154,F,Une photo virale montrerait la femme tuée par un agent de l'ICE le 7 janvier à Minneapolis.,90,,,,,
155,E,Maduro was flooding America with deadly fentanyl.,0,1,1.00,2,SAME,FALSE
156,F,Maduro « inondait l'Amérique de fentanyl mortel ».,20,,,,,
157,E,Venezuelan leader Nicolás Maduro was releasing people from his prisons and sending them to our southern border under the Biden administration.,0,1,2.00,1,E,FALSE
158,F,Le dirigeant vénézuélien Nicolás Maduro aurait libéré des prisonniers et les aurait envoyés à la frontière sud sous l'administration Biden.,0,,,,,
159,E,Video shows leaked Donald Trump audio about the Epstein files and Venezuela.,0,1,0.00,0,E,FALSE
160,F,Une vidéo montrerait un enregistrement audio divulgué de Donald Trump évoquant les dossiers Epstein et le Venezuela.,50,,,,,
161,E,Gov. Tim Walz had Democratic lawmaker Melissa Hortman killed.,100,0,0.00,0,F,FALSE
162,F,Le gouverneur Tim Walz aurait fait tuer l'élue démocrate Melissa Hortman.,0,,,,,
163,E,Video shows millions of Venezuelans flooded the streets of Caracas to celebrate Nicolás Maduro's capture.,10,1,1.00,2,SAME,FALSE
164,F,Une vidéo montrerait des millions de Vénézuéliens envahissant les rues de Caracas pour célébrer la capture de Nicolás Maduro.,20,,,,,
165,E,Brown University student Mustapha Karbouch was a suspect in school shooting.,0,0,2.00,2,SAME,FALSE
166,F,"Un étudiant de l'université Brown, Mustapha Karbouch, aurait été suspect dans une fusillade scolaire.",0,,,,,
167,E,Image shows Rob Reiner tweeted in 2023 that he would stop posting until Trump goes to prison.,0,0,2.00,2,SAME,FALSE
168,F,Une image montrerait que Rob Reiner avait tweeté en 2023 qu'il cesserait de publier tant que Trump n'irait pas en prison.,0,,,,,
169,E,The U.S. has received promises of investments totaling $18 trillion to $22 trillion since January.,20,1,1.00,2,SAME,FALSE
170,F,Les États-Unis auraient reçu des promesses d'investissement totalisant 18 000 à 22 000 milliards de dollars depuis janvier.,0,,,,,
171,E,I take responsibility for putting people in jail in Minnesota fraud scandal.,80,0,0.00,0,E,FALSE
172,F,« J'assume la responsabilité d'avoir fait emprisonner des gens » dans le scandale de fraude au Minnesota.,20,,,,,
173,E,"Any pardon signed with an autopen is now fully and completely terminated, and is of no legal effect.",0,0,2.00,1,E,FALSE
174,F,Toute grâce signée avec un autopen serait désormais « entièrement et complètement annulée » et sans effet juridique.,0,,,,,
175,E,A new North Carolina law prohibits the use of wireless communication devices while driving.,80,0,1.00,1,F,FALSE
176,F,Une nouvelle loi de Caroline du Nord interdirait l'usage d'appareils de communication sans fil au volant.,60,,,,,
177,E,"This Thanksgiving, turkey prices are at their lowest point since 2000.",0,1,2.00,2,SAME,FALSE
178,F,"Pour cette Action de grâce, les prix de la dinde seraient à leur plus bas niveau depuis 2000.",0,,,,,
179,E,I have just gotten the highest poll numbers of my political career.,0,0,2.00,2,SAME,FALSE
180,F,« Je viens d'obtenir les meilleurs sondages de ma carrière politique ».,0,,,,,
181,E,"There's about 1,400 criminal illegal aliens that, right now, are in North Carolina and Charlotte's jails that they refuse to turn over to ICE law enforcement.",80,0,0.00,0,F,FALSE
182,F,"Environ 1 400 immigrants illégaux criminels seraient actuellement dans les prisons de Caroline du Nord et de Charlotte, que les autorités refuseraient de remettre à l'ICE.",0,,,,,
183,E,West Virginia is the only state losing population.,0,0,2.00,2,SAME,FALSE
184,F,La Virginie-Occidentale serait le seul État à perdre des habitants.,0,,,,,
185,E,Video shows President Donald Trump patting President Bill Clinton's crotch.,0,1,2.00,1,E,FALSE
186,F,Une vidéo montrerait le président Trump touchant l'entrejambe du président Bill Clinton.,0,,,,,
187,E,My tariffs are helping to slash the deficit this year by more than 25%.,40,1,0.00,0,F,FALSE
188,F,« Mes tarifs douaniers contribuent à réduire le déficit de plus de 25 % cette année ».,0,,,,,
189,E,RFK Jr. flees the scene after Novo Nordisk Executive Gordon Findlay collapsed in the Oval Office.,0,0,2.00,2,SAME,FALSE
190,F,RFK Jr. aurait fui les lieux après l'effondrement du cadre de Novo Nordisk Gordon Findlay dans le Bureau ovale.,0,,,,,
191,E,The New York City ballot form is a scam because mayoral candidates appear twice.,0,0,2.00,2,E,FALSE
192,F,Le bulletin de vote de New York serait « une arnaque » parce que les candidats à la mairie y apparaîtraient deux fois.,0,,,,,
193,E,"The federal government decided to shut down the SNAP machines, so that they can't be used.",0,0,2.00,2,SAME,FALSE
194,F,Le gouvernement fédéral aurait décidé de couper les terminaux SNAP pour les rendre inutilisables.,0,,,,,
195,E,The majority of Supplemental Nutrition Assistance Program recipients are not U.S. citizens.,0,0,2.00,0,E,FALSE
196,F,La majorité des bénéficiaires du programme SNAP ne seraient pas des citoyens américains.,0,,,,,
197,E,"Video shows Hurricane Melissa hitting Jamaica on Oct. 26, 2025.",0,1,0.00,0,F,FALSE
198,F,Une vidéo montrerait l'ouragan Melissa frappant la Jamaïque le 26 octobre 2025.,80,,,,,
199,E,"In Venezuela, “We’re making hundreds of billions of dollars (in oil revenue), and so are they.”",20,0,2.00,2,SAME,FALSE
200,F,"Au Venezuela, « nous engrangeons des centaines de milliards de dollars (de recettes pétrolières), et eux aussi. »",20,,,,,
