ID,variant,LG,ground truth,score,sources,justification similarity ,score similarity ,sources similarity ,overall consistency 
17,passive ,english,FALSE,0,17,2,2,0,
17,synonyme ,english,FALSE,0,10,2,2,0,
,,,,,,4,4,0,8
17,negative,english,TRUE,100,9,2,2,0,4
,,,,,,,,,Total: 12/18
18,original ,french,FALSE,0,30,,,,
18,passive ,french,FALSE,0,23,2,2,2,
18,synonyme ,french,FALSE,0,32,2,2,2,
,,,,,,4,4,4,12
18,negative,french,TRUE,0,26,2,0,2,4
,,,,,,,,,Total: 16/18
19,original,english,mostly-true,100,23,,,,
19,passive ,english,mostly-true,80,21,1,0,0,
19,synonyme ,english,mostly-true,90,35,0,0,0,
,,,,,,1,0,0,1
19,negative,english,mostly false,0,25,1,0,0,1
,,,,,,,,,Total: 2/18
20,original ,french,mostly-true,0,23,,,,
20,passive ,french,mostly-true,0,32,2,2,2,
20,synonyme ,french,mostly-true,80,15,0,0,1,
,,,,,,2,2,3,7
20,negative,french,mostly false,50,16,1,0,1,2
,,,,,,,,,Total: 9/18
21,original,english,barely-true,80,17,,,,
21,passive ,english,barely-true,80,25,2,0,0,
21,synonyme ,english,barely-true,80,21,2,0,0,
,,,,,,4,0,0,4
21,negative,english,barely-false,0,23,2,0,0,2
,,,,,,,,,Total: 6/18
22,original ,french,barely-true,0,15,,,,
22,passive ,french,barely-true,0,12,2,2,1,
22,synonyme ,french,barely-true,20,12,2,1,1,
,,,,,,4,3,2,9
22,negative,french,barely-false,0,16,2,0,1,3
,,,,,,,,,Total: 12/18
23,original,english,mostly-true,100,18,,,,
23,passive ,english,mostly-true,100,24,2,0,0,
23,synonyme ,english,mostly-true,100,22,2,0,0,
,,,,,,4,0,0,4
23,negative,english,mostly false,100,20,0,2,0,2
,,,,,,,,,Total: 6/18
24,original ,french,mostly-true,80,38,,,,
24,passive ,french,mostly-true,100,30,1,1,2,
24,synonyme ,french,mostly-true,0,29,0,0,0,
,,,,,,1,1,2,4
24,negative,french,mostly false,100,30,0,0,1,1
,,,,,,,,,Total: 5/18
25,original,english,FALSE,0,22,,,,
25,passive ,english,FALSE,0,25,1,2,0,
25,synonyme ,english,FALSE,100,26,0,0,0,
,,,,,,1,2,0,3
25,negative,english,TRUE,100,15,2,2,0,4
,,,,,,,,,Total: 7/18
26,original ,french,FALSE,0,27,,,,
26,passive ,french,FALSE,100,21,0,0,2,
26,synonyme ,french,FALSE,100,35,0,0,2,
,,,,,,0,0,4,4
26,negative,french,TRUE,100,29,1,2,2,5
,,,,,,,,,Total: 9/18
27,original,english,FALSE,20,24,,,,
27,passive ,english,FALSE,30,18,1,1,0,
27,synonyme ,english,FALSE,20,13,2,1,0,
,,,,,,3,2,0,5
27,negative,english,TRUE,100,21,2,2,0,4
,,,,,,,,,Total: 9/18
28,original ,french,FALSE,0,18,,,,
28,passive ,french,FALSE,80,22,2,0,1,
28,synonyme ,french,FALSE,0,22,2,2,1,
,,,,,,4,2,2,8
28,negative,french,TRUE,20,9,2,0,0,2
,,,,,,,,,Total: 10/18
29,original,english,FALSE,0,18,,,,
29,passive ,english,FALSE,0,22,2,2,0,
29,synonyme ,english,FALSE,0,13,2,2,0,
,,,,,,4,4,0,8
29,negative,english,TRUE,100,17,2,2,0,4
,,,,,,,,,Total: 12/18
30,original ,french,FALSE,0,16,,,,
30,passive ,french,FALSE,0,16,1,2,2,
30,synonyme ,french,FALSE,0,27,2,2,1,
,,,,,,3,4,3,10
30,negative,french,TRUE,100,30,1,2,1,4
,,,,,,,,,Total: 14/18
31,original,english,barely-true,90,20,,,,
31,passive ,english,barely-true,90,16,2,0,0,
31,synonyme ,english,barely-true,92,17,2,0,0,
,,,,,,4,0,0,4
31,negative,english,barely-false,0,24,0,0,0,0
,,,,,,,,,Total: 4/18
32,original ,french,barely-true,0,30,,,,
32,passive ,french,barely-true,20,28,2,1,1,
32,synonyme ,french,barely-true,0,31,2,2,1,
,,,,,,4,3,2,9
32,negative,french,barely-false,0,25,2,0,1,3
,,,,,,,,,Total: 12/18
33,original,english,barely-true,0,23,,,,
33,passive ,english,barely-true,0,18,1,2,0,
33,synonyme ,english,barely-true,20,26,2,1,0,
,,,,,,3,3,0,6
33,negative,english,barely-false,80,19,2,1,0,3
,,,,,,,,,Total: 9/18
34,original ,french,barely-true,0,25,,,,
34,passive ,french,barely-true,0,32,2,2,2,
34,synonyme ,french,barely-true,0,33,2,2,2,
,,,,,,4,4,4,12
34,negative,french,barely-false,0,13,2,0,1,3
,,,,,,,,,Total: 15/18
35,original,english,mostly-true,94,33,,,,
35,passive ,english,mostly-true,80,22,0,0,0,
35,synonyme ,english,mostly-true,90,21,1,0,0,
,,,,,,1,0,0,1
35,negative,english,mostly-false,0,14,2,0,0,2
,,,,,,,,,Total: 3/18
36,original ,french,mostly-true,0,26,,,,
36,passive ,french,mostly-true,20,23,2,1,1,
36,synonyme ,french,mostly-true,0,21,2,2,1,
,,,,,,4,3,2,9
36,negative,french,mostly-false,80,19,2,1,1,4
,,,,,,,,,Total: 13/18
37,original,english,FALSE,0,26,,,,
37,passive ,english,FALSE,0,27,2,2,0,
37,synonyme ,english,FALSE,0,23,2,2,0,
,,,,,,4,4,0,8
37,negative,english,TRUE,90,28,2,2,0,4
,,,,,,,,,Total: 12/18
38,original ,french,FALSE,0,38,,,,
38,passive ,french,FALSE,0,36,2,2,1,
38,synonyme ,french,FALSE,0,33,2,2,2,
,,,,,,4,4,3,11
38,negative,french,TRUE,80,19,2,1,2,5
,,,,,,,,,Total: 16/18
39,original,english,FALSE,0,22,,,,
39,passive ,english,FALSE,0,15,2,2,0,
39,synonyme ,english,FALSE,0,15,2,2,0,
,,,,,,4,4,0,8
39,negative,english,TRUE,100,27,2,2,0,4
,,,,,,,,,Total: 12/18
40,original,french,FALSE,0,23,,,,
40,passive ,french,FALSE,0,23,2,2,0,
40,synonyme ,french,FALSE,0,19,1,2,0,
,,,,,,3,4,0,7
40,negative,french,TRUE,0,24,2,0,0,2
,,,,,,,,,Total: 9/18
41,original,english,FALSE,0,11,,,,
41,passive ,english,FALSE,0,9,2,2,0,
41,synonyme ,english,FALSE,0,17,2,2,0,
,,,,,,12,12,0,24
41,negative,english,TRUE,100,8,2,2,0,4
,,,,,,,,,Total: 28/18
42,original ,french,FALSE,0,12,,,,
42,passive ,french,FALSE,0,3,2,2,1,
42,synonyme ,french,FALSE,0,21,2,2,1,
,,,,,,4,4,2,10
42,negative,french,TRUE,80,16,1,1,1,3
,,,,,,,,,Total: 13/18
43,original,english,FALSE,20,18,,,,
43,passive ,english,FALSE,0,19,2,2,0,
43,synonyme ,english,FALSE,60,13,1,0,0,
,,,,,,3,2,0,5
43,negative,english,TRUE,80,0,2,1,0,3
,,,,,,,,,Total: 8/18
44,original ,french,FALSE,0,11,,,,
44,passive ,french,FALSE,0,15,2,2,2,
44,synonyme ,french,FALSE,0,15,2,2,2,
,,,,,,4,4,4,12
44,negative,french,TRUE,0,15,2,0,2,4
,,,,,,,,,Total: 16/18
45,original,english,barely-true,20,22,,,,
45,passive ,english,barely-true,20,32,1,1,0,
45,synonyme ,english,barely-true,0,35,1,2,0,
,,,,,,2,3,0,5
45,negative,english,barely-false,90,26,0,2,0,2
,,,,,,,,,Total: 7/18
46,original ,french,barely-true,0,25,,,,
46,passive ,french,barely-true,0,23,2,2,2,
46,synonyme ,french,barely-true,0,26,2,2,1,
,,,,,,4,4,3,11
46,negative,french,barely-false,0,30,2,0,2,4
,,,,,,,,,Total: 15/18
47,original ,english,FALSE,0,25,,,,
47,passive ,english,FALSE,0,31,1,2,2,
47,synonyme ,english,FALSE,0,13,1,2,2,
,,,,,,2,4,4,10
47,negative,english,TRUE,0,25,2,0,2,4
,,,,,,,,,Total: 14/18
48,original ,french,FALSE,20,15,,,,
48,passive ,french,FALSE,0,19,1,1,1,
48,synonyme ,french,FALSE,20,35,2,2,1,
,,,,,,3,3,2,8
48,negative,french,TRUE,60,34,2,1,1,4
,,,,,,,,,Total: 12/18
49,original ,english,half-true,60,32,,,,
49,passive ,english,half-true,0,16,0,0,2,
49,synonyme ,english,half-true,60,27,2,2,2,
,,,,,,2,2,4,8
49,negative,english,half-false,90,20,1,0,2,3
,,,,,,,,,Total: 11/18
50,original ,french,half-true,0,27,,,,
50,passive ,french,half-true,0,33,2,2,1,
50,synonyme ,french,half-true,0,0,2,2,2,
,,,,,,4,4,3,11
50,negative,french,half-false,0,34,2,0,2,4
,,,,,,,,,Total: 15/18
51,original ,english,FALSE,80,18,,,,
51,passive ,english,FALSE,80,15,2,2,2,
51,synonyme ,english,FALSE,40,25,0,0,2,
,,,,,,2,2,4,8
51,negative,english,TRUE,50,26,2,1,2,5
,,,,,,,,,Total: 13/18
52,original ,french,FALSE,60,23,,,,
52,passive ,french,FALSE,60,17,2,2,1,
52,synonyme ,french,FALSE,80,23,2,1,1,
,,,,,,4,3,2,9
52,negative,french,TRUE,30,27,2,2,1,5
,,,,,,,,,Total: 14/18
53,original ,english,mostly-true,90,28,,,,
53,passive ,english,mostly-true,90,27,2,2,2,
53,synonyme ,english,mostly-true,80,22,2,1,1,
,,,,,,4,3,3,10
53,negative,english, mostly-false,0,27,2,2,2,6
,,,,,,,,,Total: 16/18
54,original ,french,mostly-true,80,37,,,,
54,passive ,french,mostly-true,80,22,2,2,1,
54,synonyme ,french,mostly-true,70,20,2,1,1,
,,,,,,4,3,2,9
54,negative,french,mostly-false,0,31,2,1,1,4
,,,,,,,,,Total: 13/18
55,original ,english,half-true,80,30,,,,
55,passive ,english,half-true,0,25,0,0,2,
55,synonyme ,english,half-true,60,25,2,1,2,
,,,,,,2,1,4,7
55,negative,english,half-false,80,25,0,0,2,2
,,,,,,,,,Total: 9/18
56,original ,french,half-true,70,21,,,,
56,passive ,french,half-true,0,43,0,0,1,
56,synonyme ,french,half-true,0,28,0,0,2,
,,,,,,,0,3,3
56,negative,french,half-false,50,25,1,1,1,3
,,,,,,,,,Total: 6/18
57,original ,english,FALSE,0,35,,,,
57,passive ,english,FALSE,0,28,1,2,2,
57,synonyme ,english,FALSE,40,30,0,0,2,
,,,,,,1,2,4,7
57,negative,english,TRUE,100,22,1,2,2,5
,,,,,,,,,Total: 12/18
58,original ,french,FALSE,0,41,,,,
58,passive ,french,FALSE,0,26,2,2,1,
58,synonyme ,french,FALSE,20,20,2,1,1,
,,,,,,4,3,2,9
58,negative,french,TRUE,0,28,2,0,2,4
,,,,,,,,,Total: 13/18
59,original ,english,FALSE,0,25,,,,
59,passive ,english,FALSE,0,16,2,2,2,
59,synonyme ,english,FALSE,0,27,2,2,2,
,,,,,,4,4,4,12
59,negative,english,TRUE,95,33,2,2,2,6
,,,,,,,,,Total: 18/18
60,original ,french,FALSE,20,33,,,,
60,passive ,french,FALSE,20,30,2,2,2,
60,synonyme ,french,FALSE,0,24,2,1,1,
,,,,,,4,3,3,10
60,negative,french,TRUE,80,37,2,2,2,6
,,,,,,,,,Total: 16/18
61,original ,english,half-true,40,16,,,,
61,passive ,english,half-true,0,20,1,0,2,
61,synonyme ,english,half-true,0,15,2,0,2,
,,,,,,3,0,4,7
61,negative,english,half-false,0,20,2,0,2,4
,,,,,,,,,Total: 11/18
62,original ,french,half-true,0,20,,,,
62,passive ,french,half-true,0,27,2,2,1,
62,synonyme ,french,half-true,0,16,2,2,2,
,,,,,,4,4,3,11
62,negative,french,half-false,0,34,2,0,2,4
,,,,,,,,,Total: 15/18
63,original ,english,FALSE,0,19,,,,
63,passive ,english,FALSE,0,18,1,2,2,
63,synonyme ,english,FALSE,0,24,1,2,2,
,,,,,,2,4,4,10
63,negative,english,TRUE,90,24,2,2,2,6
,,,,,,,,,Total: 16/18
64,original ,french,FALSE,0,40,,,,
64,passive ,french,FALSE,0,31,2,2,2,
64,synonyme ,french,FALSE,20,26,1,1,1,
,,,,,,3,3,3,9
64,negative,french,TRUE,20,28,0,0,1,1
,,,,,,,,,Total: 10/18
65,original ,english,mostly-true,40,23,,,,
65,passive ,english,mostly-true,90,17,1,0,2,
65,synonyme ,english,mostly-true,90,20,2,0,2,
,,,,,,3,0,4,7
65,negative,english,mostly-false,0,19,2,0,2,4
,,,,,,,,,Total: 11/18
66,original ,french,mostly-true,20,26,,,,
66,passive ,french,mostly-true,0,35,2,1,2,
66,synonyme ,french,mostly-true,0,33,2,1,1,
,,,,,,4,2,3,9
66,negative,french,mostly false,0,39,1,0,1,2
,,,,,,,,,Total: 11/18
67,original ,english,barely-true,0,24,,,,
67,passive ,english,barely-true,0,18,2,2,2,
67,synonyme ,english,barely-true,0,37,0,2,2,
,,,,,,2,4,4,10
67,negative,english,barely false,100,29,1,2,2,5
,,,,,,,,,Total: 15/18
68,original ,french,barely-true,0,25,,,,
68,passive ,french,barely-true,0,20,2,2,2,
68,synonyme ,french,barely-true,0,36,2,2,2,
,,,,,,4,4,4,12
68,negative,french,barely false,80,33,2,1,1,4
,,,,,,,,,Total: 16/18
69,original ,english,TRUE,70,40,,,,
69,passive ,english,TRUE,80,19,2,1,2,
69,synonyme ,english,TRUE,90,33,2,1,2,
,,,,,,4,2,4,10
69,negative,english,FALSE,80,24,0,0,2,2
,,,,,,,,,Total: 12/18
70,original ,french,TRUE,60,33,,,,
70,passive ,french,TRUE,20,37,1,0,2,
70,synonyme ,french,TRUE,40,28,1,1,1,
,,,,,,2,1,3,6
70,negative,french,FALSE,60,33,0,1,1,2
,,,,,,,,,Total: 8/18
71,original ,english,barely-true,80,19,,,,
71,passive ,english,barely-true,80,25,1,2,2,
71,synonyme ,english,barely-true,80,21,1,2,2,
,,,,,,2,4,4,10
71,negative,english,barely-false,0,22,2,1,2,5
,,,,,,,,,Total: 15/18
72,original ,french,barely-true,20,27,,,,
72,passive ,french,barely-true,0,30,2,1,2,
72,synonyme ,french,barely-true,0,21,2,1,2,
,,,,,,4,2,4,10
72,negative,french,barely-false,40,20,1,0,2,3
,,,,,,,,,Total: 13/18
73,original ,english,FALSE,60,14,,,,
73,passive ,english,FALSE,0,32,0,0,2,
73,synonyme ,english,FALSE,0,22,0,0,1,
,,,,,,0,0,3,3
73,negative,english,TRUE,80,18,1,0,2,3
,,,,,,,,,Total: 6/18
74,original ,french,FALSE,20,21,,,,
74,passive ,french,FALSE,50,28,1,1,2,
74,synonyme ,french,FALSE,60,31,1,0,2,
,,,,,,2,1,4,7
74,negative,french,TRUE,80,22,2,2,2,6
,,,,,,,,,Total: 13/18
75,original ,english,half-true,80,11,,,,
75,passive ,english,half-true,80,15,2,2,2,
75,synonyme ,english,half-true,80,17,2,2,2,
,,,,,,4,4,4,12
75,negative,english,half-false,80,12,0,0,2,2
,,,,,,,,,Total: 14/18
76,original ,french,half-true,0,17,,,,
76,passive ,french,half-true,0,23,2,2,1,
76,synonyme ,french,half-true,0,11,2,2,1,
,,,,,,4,4,2,10
76,negative,french,half-false,0,29,1,0,1,2
,,,,,,,,,Total: 12/18
77,original ,english,FALSE,0,26,,,,
77,passive ,english,FALSE,0,30,2,2,2,
77,synonyme ,english,FALSE,60,32,1,0,2,
,,,,,,3,2,4,9
77,negative,english,TRUE,90,19,2,2,2,6
,,,,,,,,,Total: 15/18
78,original ,french,FALSE,20,23,,,,
78,passive ,french,FALSE,0,14,2,1,0,
78,synonyme ,french,FALSE,0,28,2,1,0,
,,,,,,4,2,0,6
78,negative,french,TRUE,0,18,0,0,0,0
,,,,,,,,,Total: 6/18
79,original ,english,mostly-true,80,26,,,,
79,passive ,english,mostly-true,80,22,2,2,2,
79,synonyme ,english,mostly-true,80,22,2,2,2,
,,,,,,4,4,4,12
79,negative,english,mostly false,80,31,0,0,2,2
,,,,,,,,,Total: 14/18
80,original ,french,mostly-true,100,26,,,,
80,passive ,french,mostly-true,60,24,1,0,2,
80,synonyme ,french,mostly-true,60,32,0,0,2,
,,,,,,1,0,4,5
80,negative,french,mostly false,0,21,2,2,1,5
,,,,,,,,,Total: 10/18
81,original ,english,Mostly false,80,20,,,,
81,passive ,english,Mostly false,40,29,1,0,2,
81,synonyme ,english,Mostly false,90,21,2,1,2,
,,,,,,3,1,4,8
81,negative,english,Mostly true,80,28,2,0,2,4
,,,,,,,,,Total: 12/18
82,original ,french,Mostly false,0,25,,,,
82,passive ,french,Mostly false,0,22,2,2,2,
82,synonyme ,french,Mostly false,0,16,2,2,1,
,,,,,,4,4,3,11
82,negative,french,Mostly true,0,22,1,0,2,3
,,,,,,,,,Total: 14/18
83,original ,english,FALSE,0,20,,,,
83,passive ,english,FALSE,0,13,2,2,2,
83,synonyme ,english,FALSE,0,22,2,2,2,
,,,,,,4,4,4,12
83,negative,english,VRAI,0,31,0,0,2,2
,,,,,,,,,Total: 14/18
84,original ,french,FALSE,0,26,,,,
84,passive ,french,FALSE,0,37,2,2,1,
84,synonyme ,french,FALSE,0,36,2,2,1,
,,,,,,4,4,2,10
84,negative,french,TRUE,100,27,2,2,2,6
,,,,,,,,,Total: 16/18
85,original ,english,barely-true,20,20,,,,
85,passive ,english,barely-true,20,27,2,2,2,
85,synonyme ,english,barely-true,20,26,2,2,2,
,,,,,,4,4,4,12
85,negative,english,barely false,0,20,1,0,2,3
,,,,,,,,,Total: 15/18
86,original ,french,barely-true,20,19,,,,
86,passive ,french,barely-true,20,19,2,2,2,
86,synonyme ,french,barely-true,20,19,2,2,1,
,,,,,,4,4,3,11
86,negative,french,barely-false,20,14,1,0,2,3
,,,,,,,,,Total: 14/18
87,original ,english,FALSE,0,20,,,,
87,passive ,english,FALSE,0,8,2,2,1,
87,synonyme ,english,FALSE,0,17,2,2,1,
,,,,,,4,4,2,10
87,negative,english,VRAI,80,13,2,1,2,5
,,,,,,,,,Total: 15/18
88,original ,french,FALSE,0,13,,,,
88,passive ,french,FALSE,0,15,2,2,2,
88,synonyme ,french,FALSE,0,23,2,2,2,
,,,,,,4,4,4,12
88,negative,french,VRAI,80,21,2,1,2,5
,,,,,,,,,Total: 17/18
89,original ,english,half-true,0,20,,,,
89,passive ,english,half-true,0,17,2,2,2,
89,synonyme ,english,half-true,0,16,2,2,2,
,,,,,,4,4,4,12
89,negative,english,half-false,0,20,0,0,2,2
,,,,,,,,,Total: 14/18
90,original ,french,half-true,80,47,,,,
90,passive ,french,half-true,30,34,0,0,2,
90,synonyme ,french,half-true,10,32,0,0,2,
,,,,,,0,0,4,4
90,negative,french,half-false,0,31,0,1,2,3
,,,,,,,,,Total: 7/18
91,original ,english,mostly-true,90,21,,,,
91,passive ,english,mostly-true,90,18,2,2,2,
91,synonyme ,english,mostly-true,90,20,2,2,2,
,,,,,,4,4,4,12
91,negative,english,mostly-false,0,22,1,2,2,5
,,,,,,,,,Total: 17/18
92,original ,french,mostly-true,0,12,,,,
92,passive ,french,mostly-true,80,18,0,0,0,
92,synonyme ,french,mostly-true,80,19,0,0,0,
,,,,,,0,0,0,0
92,negative,french,mostly false,40,25,1,0,1,2
,,,,,,,,,Total: 2/18
93,original ,english,FALSE,100,10,,,,
93,passive ,english,FALSE,98,17,1,2,2,
93,synonyme ,english,FALSE,100,13,1,2,2,
,,,,,,2,4,4,10
93,negative,english,TRUE,0,18,2,2,2,6
,,,,,,,,,Total: 16/18
94,original ,french,FALSE,80,33,,,,
94,passive ,french,FALSE,80,23,2,2,1,
94,synonyme ,french,FALSE,80,12,2,2,2,
,,,,,,4,4,3,11
94,negative,french,TRUE,0,11,2,1,1,4
,,,,,,,,,Total: 15/18
95,original ,english,half-true,60,32,,,,
95,passive ,english,half-true,70,33,2,1,2,
95,synonyme ,english,half-true,80,31,2,1,2,
,,,,,,4,2,4,10
95,negative,english,half-false,0,28,1,0,2,3
,,,,,,,,,Total: 13/18
96,original ,french,half-true,0,29,,,,
96,passive ,french,half-true,0,34,2,2,2,
96,synonyme ,french,half-true,0,24,2,2,1,
,,,,,,4,4,3,11
96,negative,french,half-false,20,25,1,0,2,3
,,,,,,,,,Total: 14/18
97,original ,english,FALSE,40,22,,,,
97,passive ,english,FALSE,0,20,0,0,2,
97,synonyme ,english,FALSE,0,14,1,0,2,
,,,,,,1,0,4,5
97,negative,english,VRAI,100,19,1,0,2,3
,,,,,,,,,Total: 8/18
98,original ,french,FALSE,0,22,,,,
98,passive ,french,FALSE,0,1,1,2,0,
98,synonyme ,french,FALSE,0,20,2,2,1,
,,,,,,3,4,1,8
98,negative,french,VRAI,100,17,2,2,1,5
,,,,,,,,,Total: 13/18
99,original ,english,FALSE,0,24,,,,
99,passive ,english,FALSE,0,21,2,2,2,
99,synonyme ,english,FALSE,0,30,2,2,2,
,,,,,,4,4,4,12
99,negative,english,TRUE,100,24,2,2,2,6
,,,,,,,,,Total: 18/18
100,original ,french,FALSE,20,18,,,,
100,passive ,french,FALSE,80,17,1,0,1,
100,synonyme ,french,FALSE,0,19,2,1,2,
,,,,,,3,1,3,7
100,negative,french,TRUE,0,30,0,0,1,1
,,,,,,,,,Total: 8/18
101,original ,english,half-true,20,17,,,,
101,passive ,english,half-true,80,19,2,0,2,
101,synonyme ,english,half-true,40,18,2,1,2,
,,,,,,4,1,4,9
101,negative,english,half-true,0,25,1,0,2,
,,,,,,,,,Total: 12/18
102,original ,french,half-true,0,11,,,,9
102,passive ,french,half-true,20,18,2,1,1,
102,synonyme ,french,half-true,0,19,2,2,1,
,,,,,,4,3,2,9
102,negative,french,half-true,0,32,2,0,2,
,,,,,,,,,Total: 13/18
103,original ,english,barely-true,40,35,,,,
103,passive ,english,barely-true,30,24,2,2,2,
103,synonyme ,english,barely-true,60,71,2,1,2,
,,,,,,4,3,4,11
103,negative,english,mostly false,70,82,2,2,2,
,,,,,,,,,Total: 17/18
104,original ,french,barely-true,0,13,,,,
104,passive ,french,barely-true,60,17,0,0,1,
104,synonyme ,french,barely-true,40,13,1,0,1,
,,,,,,1,0,2,3
104,negative,french,half-true,40,26,1,0,1,
,,,,,,,,,Total: 5/18
105,original ,english,half-true,80,19,,,,
105,passive ,english,half-true,90,15,2,2,2,
105,synonyme ,english,half-true,80,12,2,2,1,
,,,,,,0,4,3,7
105,negative,english,half-true,0,12,2,1,1,4
,,,,,,,,,Total: 15/18
106,original ,french,half-true,80,20,,,,
106,passive ,french,half-true,80,15,2,2,0,
106,synonyme ,french,half-true,60,21,2,1,1,
,,,,,,4,3,1,8
106,negative,french,half-true,80,15,1,0,1,2
,,,,,,,,,Total: 10/18
107,original ,english,FALSE,0,15,,,,
107,passive ,english,FALSE,80,15,0,0,2,
107,synonyme ,english,FALSE,0,15,2,2,1,
,,,,,,2,2,3,7
107,negative,english,TRUE,100,22,2,2,1,5
,,,,,,,,,Total: 12/18
108,original ,french,FALSE,0,20,,,,
108,passive ,french,FALSE,0,22,2,2,2,
108,synonyme ,french,FALSE,60,23,1,0,1,
,,,,,,3,2,3,8
108,negative,french,TRUE,0,24,0,0,1,1
,,,,,,,,,Total: 9/18
109,original ,english,FALSE,0,33,,,,
109,passive ,english,FALSE,0,20,2,2,2,
109,synonyme ,english,FALSE,0,23,2,2,2,
,,,,,,4,4,4,12
109,negative,english,TRUE,90,22,2,2,2,6
,,,,,,,,,Total: 18/18
110,original ,french,FALSE,0,25,,,,
110,passive ,french,FALSE,0,10,2,2,1,
110,synonyme ,french,FALSE,0,22,2,2,1,
,,,,,,4,4,2,10
110,negative,french,TRUE,100,15,2,2,1,5
,,,,,,,,,Total: 15/18
111,original ,english,FALSE,0,18,,,,
111,passive ,english,FALSE,0,22,2,2,2,
111,synonyme ,english,FALSE,0,25,2,2,2,
,,,,,,4,4,4,12
111,negative,english,TRUE,90,20,2,2,2,6
,,,,,,,,,Total: 18/18
112,original ,french,FALSE,0,22,,,,
112,passive ,french,FALSE,0,14,1,2,1,
